route_id,agency_id,route_short_name,route_long_name,route_desc,route_type,route_url,route_color,route_text_color
64K,MTC,,,,3,,,
64KET,MTC,,,,3,,,
64KGS,MTC,,,,3,,,
64P,MTC,,,,3,,,
65,MTC,,,,3,,,
65B,MTC,,,,3,,,
65BGS,MTC,,,,3,,,
65CCT,MTC,,,,3,,,
65D,MTC,,,,3,,,
65DET,MTC,,,,3,,,
65E,MTC,,,,3,,,
65G,MTC,,,,3,,,
65H,MTC,,,,3,,,
65K,MTC,,,,3,,,
65R,MTC,,,,3,,,
65T,MTC,,,,3,,,
66,MTC,,,,3,,,
66A,MTC,,,,3,,,
66CGS,MTC,,,,3,,,
66GS,MTC,,,,3,,,
66J,MTC,,,,3,,,
66NS,MTC,,,,3,,,
70C,MTC,,,,3,,,
70CNS,MTC,,,,3,,,
70F,MTC,,,,3,,,
70K,MTC,,,,3,,,
70S,MTC,,,,3,,,
71C,MTC,,,,3,,,
71D,MTC,,,,3,,,
71F,MTC,,,,3,,,
77C,MTC,,,,3,,,
77D,MTC,,,,3,,,
77K,MTC,,,,3,,,
77M,MTC,,,,3,,,
77NS,MTC,,,,3,,,
77P,MTC,,,,3,,,
77V,MTC,,,,3,,,
7B,MTC,,,,3,,,
7BET,MTC,,,,3,,,
7BGS,MTC,,,,3,,,
7K,MTC,,,,3,,,
7S,MTC,,,,3,,,
80,MTC,,,,3,,,
88A,MTC,,,,3,,,
88C,MTC,,,,3,,,
88CCT,MTC,,,,3,,,
88CET,MTC,,,,3,,,
88D,MTC,,,,3,,,
88K,MTC,,,,3,,,
88L,MTC,,,,3,,,
88M,MTC,,,,3,,,
8B,MTC,,,,3,,,
8BGS,MTC,,,,3,,,
91NS,MTC,,,,3,,,
95K,MTC,,,,3,,,
95NS,MTC,,,,3,,,
99CT,MTC,,,,3,,,
99NS,MTC,,,,3,,,
9METS,MTC,,,,3,,,
A01,MTC,,,,3,,,
A45B,MTC,,,,3,,,
B70CT,MTC,,,,3,,,
C56C,MTC,,,,3,,,
D170,MTC,,,,3,,,
D70NS,MTC,,,,3,,,
F70,MTC,,,,3,,,
J66,MTC,,,,3,,,
K66,MTC,,,,3,,,
L18,MTC,,,,3,,,
M01A,MTC,,,,3,,,
M07,MTC,,,,3,,,
M1,MTC,,,,3,,,
M118K,MTC,,,,3,,,
M119,MTC,,,,3,,,
M119A,MTC,,,,3,,,
M119GS,MTC,,,,3,,,
M12,MTC,,,,3,,,
M147N,MTC,,,,3,,,
M14A,MTC,,,,3,,,
M152N,MTC,,,,3,,,
M15ET,MTC,,,,3,,,
M15ETG,MTC,,,,3,,,
M18,MTC,,,,3,,,
M18ACT,MTC,,,,3,,,
M18C,MTC,,,,3,,,
M18G,MTC,,,,3,,,
M18N,MTC,,,,3,,,
M19A,MTC,,,,3,,,
M19B,MTC,,,,3,,,
M19C,MTC,,,,3,,,
M1GS,MTC,,,,3,,,
M21B,MTC,,,,3,,,
M21C,MTC,,,,3,,,
M21G,MTC,,,,3,,,
M27,MTC,,,,3,,,
M28,MTC,,,,3,,,
M45,MTC,,,,3,,,
M45AET,MTC,,,,3,,,
M45E,MTC,,,,3,,,
M45K,MTC,,,,3,,,
M51,MTC,,,,3,,,
M51D,MTC,,,,3,,,
M51R,MTC,,,,3,,,
M51V,MTC,,,,3,,,
M52,MTC,,,,3,,,
M52ET,MTC,,,,3,,,
M52GS,MTC,,,,3,,,
M56,MTC,,,,3,,,
M60,MTC,,,,3,,,
M62,MTC,,,,3,,,
M7,MTC,,,,3,,,
M70N,MTC,,,,3,,,
M70NS,MTC,,,,3,,,
M70S,MTC,,,,3,,,
M7A,MTC,,,,3,,,
M7GS,MTC,,,,3,,,
M88,MTC,,,,3,,,
M88A,MTC,,,,3,,,
M88CT,MTC,,,,3,,,
M88GS,MTC,,,,3,,,
M88M,MTC,,,,3,,,
M88R,MTC,,,,3,,,
M89,MTC,,,,3,,,
M89T,MTC,,,,3,,,
M9M,MTC,,,,3,,,
M9MGS,MTC,,,,3,,,
N70,MTC,,,,3,,,
S07E,MTC,,,,3,,,
S07F,MTC,,,,3,,,
S07H,MTC,,,,3,,,
S07HET,MTC,,,,3,,,
S07M,MTC,,,,3,,,
S101,MTC,,,,3,,,
S102,MTC,,,,3,,,
S102CG,MTC,,,,3,,,
S102CT,MTC,,,,3,,,
S102EA,MTC,,,,3,,,
S102T,MTC,,,,3,,,
S109,MTC,,,,3,,,
S11,MTC,,,,3,,,
S111,MTC,,,,3,,,
S113,MTC,,,,3,,,
S113ET,MTC,,,,3,,,
S113GS,MTC,,,,3,,,
S114,MTC,,,,3,,,
S114CT,MTC,,,,3,,,
S114CU,MTC,,,,3,,,
S114EX,MTC,,,,3,,,
S114P,MTC,,,,3,,,
S118,MTC,,,,3,,,
S11ACT,MTC,,,,3,,,
S11H,MTC,,,,3,,,
S120,MTC,,,,3,,,
S120CT,MTC,,,,3,,,
S12B,MTC,,,,3,,,
S12C,MTC,,,,3,,,
S13,MTC,,,,3,,,
S147BG,MTC,,,,3,,,
S147C,MTC,,,,3,,,
S147CG,MTC,,,,3,,,
S14M,MTC,,,,3,,,
S153A,MTC,,,,3,,,
S153B,MTC,,,,3,,,
S153P,MTC,,,,3,,,
S153T,MTC,,,,3,,,
S154A,MTC,,,,3,,,
S159,MTC,,,,3,,,
S159A,MTC,,,,3,,,
S159E,MTC,,,,3,,,
S15B,MTC,,,,3,,,
S166,MTC,,,,3,,,
S170A,MTC,,,,3,,,
S170C,MTC,,,,3,,,
S170L,MTC,,,,3,,,
S170T,MTC,,,,3,,,
S17D,MTC,,,,3,,,
S17E,MTC,,,,3,,,
S18A,MTC,,,,3,,,
S18M,MTC,,,,3,,,
S19B,MTC,,,,3,,,
S1A,MTC,,,,3,,,
S1B,MTC,,,,3,,,
S1C,MTC,,,,3,,,
S1G,MTC,,,,3,,,
S1GET,MTC,,,,3,,,
S21,MTC,,,,3,,,
S21G,MTC,,,,3,,,
S21GGS,MTC,,,,3,,,
S21L,MTC,,,,3,,,
S23C,MTC,,,,3,,,
S23J,MTC,,,,3,,,
S23V,MTC,,,,3,,,
S242,MTC,,,,3,,,
S248,MTC,,,,3,,,
S24A,MTC,,,,3,,,
S24C,MTC,,,,3,,,
S24CGS,MTC,,,,3,,,
S254,MTC,,,,3,,,
S25G,MTC,,,,3,,,
S25GGS,MTC,,,,3,,,
S26,MTC,,,,3,,,
S266,MTC,,,,3,,,
S26CT,MTC,,,,3,,,
S27B,MTC,,,,3,,,
S27BCT,MTC,,,,3,,,
S27BGS,MTC,,,,3,,,
S27C,MTC,,,,3,,,
S27CGS,MTC,,,,3,,,
S27D,MTC,,,,3,,,
S27DGS,MTC,,,,3,,,
S27H,MTC,,,,3,,,
S27L,MTC,,,,3,,,
S27LGS,MTC,,,,3,,,
S27N,MTC,,,,3,,,
S29A,MTC,,,,3,,,
S29C,MTC,,,,3,,,
S29CET,MTC,,,,3,,,
S29CGS,MTC,,,,3,,,
S32A,MTC,,,,3,,,
S32AGS,MTC,,,,3,,,
S32B,MTC,,,,3,,,
S37D,MTC,,,,3,,,
S37G,MTC,,,,3,,,
S37GGS,MTC,,,,3,,,
S40A,MTC,,,,3,,,
S40AET,MTC,,,,3,,,
S40AGS,MTC,,,,3,,,
S41D,MTC,,,,3,,,
S45B,MTC,,,,3,,,
S45BGS,MTC,,,,3,,,
S46,MTC,,,,3,,,
S46G,MTC,,,,3,,,
S47A,MTC,,,,3,,,
S47C,MTC,,,,3,,,
S47D,MTC,,,,3,,,
S47DGS,MTC,,,,3,,,
S49,MTC,,,,3,,,
S49A,MTC,,,,3,,,
S49AGS,MTC,,,,3,,,
S500,MTC,,,,3,,,
S500B,MTC,,,,3,,,
S500CT,MTC,,,,3,,,
S501,MTC,,,,3,,,
S514,MTC,,,,3,,,
S514E,MTC,,,,3,,,
S515,MTC,,,,3,,,
S517,MTC,,,,3,,,
S517T,MTC,,,,3,,,
S519,MTC,,,,3,,,
S519CT,MTC,,,,3,,,
S519ET,MTC,,,,3,,,
S521H,MTC,,,,3,,,
S525,MTC,,,,3,,,
S533,MTC,,,,3,,,
S536,MTC,,,,3,,,
S538,MTC,,,,3,,,
S53A,MTC,,,,3,,,
S53B,MTC,,,,3,,,
S54,MTC,,,,3,,,
S547,MTC,,,,3,,,
S547NH,MTC,,,,3,,,
S549,MTC,,,,3,,,
S54F,MTC,,,,3,,,
S54FGS,MTC,,,,3,,,
S54GS,MTC,,,,3,,,
S552K,MTC,,,,3,,,
S553K,MTC,,,,3,,,
S554,MTC,,,,3,,,
S554A,MTC,,,,3,,,
S555,MTC,,,,3,,,
S557,MTC,,,,3,,,
S558,MTC,,,,3,,,
S558B,MTC,,,,3,,,
S558D,MTC,,,,3,,,
S562A,MTC,,,,3,,,
S562B,MTC,,,,3,,,
S563,MTC,,,,3,,,
S565,MTC,,,,3,,,
S565A,MTC,,,,3,,,
S566,MTC,,,,3,,,
S566A,MTC,,,,3,,,
S566B,MTC,,,,3,,,
S568,MTC,,,,3,,,
S56NEX,MTC,,,,3,,,
S56P,MTC,,,,3,,,
S570,MTC,,,,3,,,
S570ET,MTC,,,,3,,,
S570S,MTC,,,,3,,,
S572,MTC,,,,3,,,
S578,MTC,,,,3,,,
S578P,MTC,,,,3,,,
S579A,MTC,,,,3,,,
S57F,MTC,,,,3,,,
S57FGS,MTC,,,,3,,,
S580,MTC,,,,3,,,
S580P,MTC,,,,3,,,
S582,MTC,,,,3,,,
S583,MTC,,,,3,,,
S583A,MTC,,,,3,,,
S587,MTC,,,,3,,,
S588,MTC,,,,3,,,
S59,MTC,,,,3,,,
S591,MTC,,,,3,,,
S591B,MTC,,,,3,,,
S591C,MTC,,,,3,,,
S592,MTC,,,,3,,,
S592NH,MTC,,,,3,,,
S597,MTC,,,,3,,,
S599,MTC,,,,3,,,
S5A,MTC,,,,3,,,
S5AGS,MTC,,,,3,,,
S5E,MTC,,,,3,,,
S5EGS,MTC,,,,3,,,
S62,MTC,,,,3,,,
S62GS,MTC,,,,3,,,
S6D,MTC,,,,3,,,
S6DGS,MTC,,,,3,,,
S70A,MTC,,,,3,,,
S70D,MTC,,,,3,,,
S70KGS,MTC,,,,3,,,
S70P,MTC,,,,3,,,
S70PET,MTC,,,,3,,,
S70V,MTC,,,,3,,,
S71E,MTC,,,,3,,,
S71EGS,MTC,,,,3,,,
S71V,MTC,,,,3,,,
S77NH,MTC,,,,3,,,
S7B,MTC,,,,3,,,
S7F,MTC,,,,3,,,
S7H,MTC,,,,3,,,
S7HGS,MTC,,,,3,,,
S7M,MTC,,,,3,,,
S88K,MTC,,,,3,,,
S91,MTC,,,,3,,,
S91V,MTC,,,,3,,,
S95,MTC,,,,3,,,
S95CTG,MTC,,,,3,,,
S95GS,MTC,,,,3,,,
S99,MTC,,,,3,,,
SA01,MTC,,,,3,,,
SA1,MTC,,,,3,,,
SA18,MTC,,,,3,,,
SA1EGS,MTC,,,,3,,,
SA1ET,MTC,,,,3,,,
SA51,MTC,,,,3,,,
SA57,MTC,,,,3,,,
SB51,MTC,,,,3,,,
SB70,MTC,,,,3,,,
SD18,MTC,,,,3,,,
SD70,MTC,,,,3,,,
SD70GS,MTC,,,,3,,,
SE18,MTC,,,,3,,,
SE18EA,MTC,,,,3,,,
SG18,MTC,,,,3,,,
SG18ET,MTC,,,,3,,,
SG70,MTC,,,,3,,,
SM05,MTC,,,,3,,,
SM1,MTC,,,,3,,,
SM11,MTC,,,,3,,,
SM14ET,MTC,,,,3,,,
SM18C,MTC,,,,3,,,
SM21GE,MTC,,,,3,,,
SM27,MTC,,,,3,,,
SM27GS,MTC,,,,3,,,
SM51,MTC,,,,3,,,
SM7,MTC,,,,3,,,
SM70,MTC,,,,3,,,
SM70GS,MTC,,,,3,,,
SM70S,MTC,,,,3,,,
SM88,MTC,,,,3,,,
SN45B,MTC,,,,3,,,
SP66,MTC,,,,3,,,
SP66GS,MTC,,,,3,,,
ST151,MTC,,,,3,,,
ST70EX,MTC,,,,3,,,
SV151,MTC,,,,3,,,
SV21,MTC,,,,3,,,
SV51,MTC,,,,3,,,
SV51GS,MTC,,,,3,,,
T29,MTC,,,,3,,,
X01GCT,MTC,,,,3,,,
X07H,MTC,,,,3,,,
X07M,MTC,,,,3,,,
X101,MTC,,,,3,,,
X102,MTC,,,,3,,,
X102A,MTC,,,,3,,,
X102C,MTC,,,,3,,,
X102CG,MTC,,,,3,,,
X102CT,MTC,,,,3,,,
X102K,MTC,,,,3,,,
X102KG,MTC,,,,3,,,
X102M,MTC,,,,3,,,
X102P,MTC,,,,3,,,
X102S,MTC,,,,3,,,
X105,MTC,,,,3,,,
X109,MTC,,,,3,,,
X109CT,MTC,,,,3,,,
X109GS,MTC,,,,3,,,
X109T,MTC,,,,3,,,
X113,MTC,,,,3,,,
X114,MTC,,,,3,,,
X114C,MTC,,,,3,,,
X114CU,MTC,,,,3,,,
X118A,MTC,,,,3,,,
X118R,MTC,,,,3,,,
X119CT,MTC,,,,3,,,
X11H,MTC,,,,3,,,
X120,MTC,,,,3,,,
X120GS,MTC,,,,3,,,
X139,MTC,,,,3,,,
X141C,MTC,,,,3,,,
X147C,MTC,,,,3,,,
X147S,MTC,,,,3,,,
X147V,MTC,,,,3,,,
X151,MTC,,,,3,,,
X152B,MTC,,,,3,,,
X153,MTC,,,,3,,,
X153V,MTC,,,,3,,,
X154E,MTC,,,,3,,,
X155A,MTC,,,,3,,,
X156D,MTC,,,,3,,,
X15BT,MTC,,,,3,,,
X15F,MTC,,,,3,,,
X15G,MTC,,,,3,,,
X16J,MTC,,,,3,,,
X170B,MTC,,,,3,,,
X170C,MTC,,,,3,,,
X170M,MTC,,,,3,,,
X188ET,MTC,,,,3,,,
X188K,MTC,,,,3,,,
X18AGS,MTC,,,,3,,,
X18D,MTC,,,,3,,,
X19B,MTC,,,,3,,,
X19BET,MTC,,,,3,,,
X19T,MTC,,,,3,,,
X1A,MTC,,,,3,,,
X1AGS,MTC,,,,3,,,
X1B,MTC,,,,3,,,
X1C,MTC,,,,3,,,
X1D,MTC,,,,3,,,
X202,MTC,,,,3,,,
X21G,MTC,,,,3,,,
X21J,MTC,,,,3,,,
X21L,MTC,,,,3,,,
X21LET,MTC,,,,3,,,
X21LGS,MTC,,,,3,,,
X221H,MTC,,,,3,,,
X22B,MTC,,,,3,,,
X23C,MTC,,,,3,,,
X23CET,MTC,,,,3,,,
X23CGS,MTC,,,,3,,,
X242,MTC,,,,3,,,
X248P,MTC,,,,3,,,
X24C,MTC,,,,3,,,
X251A,MTC,,,,3,,,
X254,MTC,,,,3,,,
X25G,MTC,,,,3,,,
X25GGS,MTC,,,,3,,,
X26,MTC,,,,3,,,
X26GS,MTC,,,,3,,,
X27C,MTC,,,,3,,,
X27E,MTC,,,,3,,,
X27H,MTC,,,,3,,,
X27HGS,MTC,,,,3,,,
X27L,MTC,,,,3,,,
X29BET,MTC,,,,3,,,
X29C,MTC,,,,3,,,
X29L,MTC,,,,3,,,
X29LGS,MTC,,,,3,,,
X32,MTC,,,,3,,,
X32A,MTC,,,,3,,,
X32AGS,MTC,,,,3,,,
X34,MTC,,,,3,,,
X35,MTC,,,,3,,,
